[-1, -5, -7, 2, 0, 0, -6, -13]
[-5, 2, 13, 2, -6, -11, -16, 7]
[-6, 16, 13, -9, -2, -3, -8, -9]
[6, 13, -19, 26, 9, 10, 16, 42]
[1, -8, 17, -2, -5, -11, -22, -55]
[12, 17, 11, 14, 3, 2, 20, 37]
[-1, -35, -25, -12, -5, 1, 3, -56]
[2, 30, 23, 3, -2, -2, 14, 19]
[12, -8, -6, -7, -3, -5, -19, -9]
[-4, 0, 8, 1, 6, 10, 15, 14]
[6, 9, 3, 2, 2, -3, 10, -1]
[-4, -5, -8, -17, -2, -1, -23, 1]
[-2, -12, -5, 7, 0, 4, 10, -17]
[-2, 8, 16, -5, -2, -4, -11, -5]
[5, 8, -22, 4, 1, 1, -22, 20]
[-2, -15, -5, -7, -4, -9, -20, -27]
[-2, 14, 12, 2, -2, 0, 14, 20]
[4, -12, -21, -8, -4, 2, 8, -5]
[-6, -3, -6, 6, -4, 0, -1, 16]
[8, -7, 5, -2, -2, -11, -14, -13]
[-5, -2, -8, -9, -3, 11, -16, 7]
[2, -2, -10, 0, -2, -2, -1, -4]
[0, -3, 1, 1, -4, -8, 2, -3]
[0, -3, 2, -8, -5, 0, 1, -9]
[-1, -13, -9, -3, -1, -3, 6, 11]
[-2, 18, 0, 2, -2, -5, 5, -12]
[-2, 7, 5, 5, 2, 6, 2, 4]
[-4, -11, -1, -8, -3, -1, 10, -11]
[0, -12, -4, 1, -2, -3, 1, 8]
[2, -10, -3, -4, -8, -10, -22, -13]
[-6, -4, -1, -2, -2, -2, -10, 0]
[2, 3, -3, -1, -1, -2, 4, -1]
[-1, 7, 1, -1, 1, 5, -9, 8]
[0, -5, 0, -1, -3, -1, -10, -7]
[2, -2, -4, -4, -6, -11, 10, 7]
[-4, -4, -11, -4, 1, 5, -8, -4]
[-3, 25, 4, -1, 1, 1, 20, 5]
[3, -1, 3, -2, -3, -5, -14, -2]
[-5, -2, -5, 5, 5, 15, 12, 4]
[2, 15, 6, 0, -1, -3, -2, -6]
[-6, -16, -8, 0, -1, -8, -10, 0]
[-6, 9, -5, 0, 2, 5, -1, -5]
[4, -8, 12, 0, 0, -6, 17, 16]
[6, -3, 1, -3, 0, 6, 1, -22]
[-3, -8, -4, -2, -2, 2, -15, 25]
[-5, 4, -2, 1, 2, 1, 11, 1]
[-5, -3, 1, -2, -3, -2, -4, 1]
[-5, -9, -17, -1, -1, -2, -8, 4]
[-2, 7, 1, -1, 2, -1, 2, -10]
[-1, -14, 0, 1, 1, -3, -1, -2]
[0, 5, -3, -4, 1, -1, -5, 6]
[-1, -12, 6, -1, 1, 3, 10, -22]
[1, 8, 4, 1, 2, 1, -11, 3]
[-10, -2, -4, -2, -2, -4, 21, 0]
[16, 4, 4, 3, 2, 6, 2, 19]
[-6, -8, -2, -2, -4, -6, -45, 3]
[-2, 0, -2, -2, -5, -17, 9, -1]
[14, -8, -2, 2, 5, 11, 31, 7]
[-4, -6, -4, -2, -2, 2, -4, -10]
[2, 3, 0, -1, -4, -8, 2, 9]
[13, 7, -4, -4, -4, -13, -21, -12]
[-4, -3, -4, 0, 0, 2, -10, 1]
[7, -25, 10, 1, -2, -3, -10, -10]
[-15, 7, 2, 2, 1, 5, 11, 1]
[5, 2, -2, -4, -1, -1, -2, 2]
[13, 5, -8, -5, -2, -2, 2, 0]
[11, -25, -10, 1, 3, 4, -9, 6]
[-3, 25, 9, 3, -1, 7, 9, 1]
[-12, -14, -1, 0, -1, -7, -9, -4]
[-3, 16, 6, 1, 0, -4, -9, -2]
[-11, 11, -1, -1, -4, -4, 9, -8]
[1, -9, -2, 2, 4, 3, 12, 19]
[-1, 4, -2, 0, 2, 6, 15, 1]
[0, -13, -3, -1, 0, 0, -6, -3]
[-19, 5, 0, -3, -1, -8, -1, -4]
[11, -1, -1, -3, -1, -5, 8, 1]
[-3, -7, -1, -1, 0, 6, -1, -1]
[-24, 7, -4, -1, -3, -4, -9, -6]
[9, -16, -29, -3, 0, 1, 2, 6]
[12, 4, 23, 1, -1, 1, -1, 6]
[-1, 2, -1, -3, -6, -14, -61, -26]
[-9, -3, 12, 3, 8, 21, 95, 13]
[12, 14, -9, -2, -2, -11, -14, 1]
[34, -6, -14, 2, 4, 14, 4, 7]
[1, 4, 10, 1, -7, -8, -56, 4]
[-45, -3, 1, 1, -1, 4, -1, -8]
[-39, -20, 10, -1, -1, -6, 0, -18]
[3, -14, -30, -3, 2, 8, 9, -7]
[-24, 1, 2, 2, -4, -5, 8, -2]
[117, 18, 11, 3, 1, -5, -22, 40]
[49, 29, 29, 8, 4, 12, 32, 38]
[-34, -18, -3, -7, -8, -13, -31, -49]
[-25, 5, -5, 2, 0, 1, 41, -3]
[-82, -40, -14, -6, -3, 6, -4, -30]
[3, -1, -2, -5, -4, -6, -23, 5]
[27, 29, 18, 8, 3, -6, -4, 31]
[22, 10, 3, -1, 6, 21, 62, 19]
[-81, -31, -15, -7, -7, -19, -19, -30]
[-74, -37, -16, -7, -7, -6, -25, -39]
[76, 26, 6, 2, 5, 4, 27, 22]
[86, 32, 5, 6, 5, -2, 3, 25]
[15, 5, 24, 4, 1, 1, -10, 28]
[-22, -15, -21, -8, -6, -2, -23, -9]
[-53, -27, -3, -5, -6, 0, 12, -39]
[-35, 49, 21, 5, 1, 6, 25, 5]
[84, 5, -20, -6, -5, -8, -30, -21]
[-72, 33, 30, 11, 4, -5, -12, 29]
[75, 11, -7, 0, 1, -5, -5, 78]
[-53, -42, -13, -5, -1, 6, 21, 21]
[-96, -75, -29, -27, -17, -29, -77, -112]
[60, 64, 14, 26, 13, 18, 74, 23]
[-62, -22, -4, 0, 6, 2, -9, 24]
[-57, -16, -8, 12, -2, 8, 0, 22]
[64, 88, 34, 10, -14, -24, 3, 122]
[25, 13, 22, -1, 16, 46, -78, -46]
[-128, -14, -33, -23, 18, 37, 92, 2]
[4, -66, 13, -13, -19, -80, -42, -63]
[104, 72, -7, 57, 38, 75, 36, 52]
[84, 68, 37, -1, 10, 37, 37, 64]
[-25, -2, 0, -34, -35, -27, -44, -119]
[-81, -96, -84, 1, 10, -14, -70, -103]
[-79, -70, -10, -34, -5, -11, 61, 31]
[-113, 33, 55, 52, -20, -97, -61, -63]
[78, 3, 24, 17, 4, 89, 70, -35]
[62, -9, -19, -34, -21, -15, -50, 15]
[-27, -38, -42, -14, -9, -29, 1, -46]
[-4, -96, -97, -71, -21, 0, -22, -91]
[-93, 32, 59, 2, -25, -52, -20, -97]
[22, 49, -8, 9, 11, 39, 2, 30]
[-49, 9, 3, 12, 13, 2, -28, -16]
[-57, -31, -4, -17, 5, -10, 46, 44]
[-48, -25, -13, 19, 18, 11, -19, 31]
[-46, -14, -7, -9, -1, 11, -25, -24]
[32, 31, 38, -12, 9, 35, 54, -16]
[-18, -31, -21, -6, -17, -20, 19, 60]
[9, -5, -16, -5, -11, -32, -56, 17]
[5, 44, 21, 8, 7, 45, 54, 3]
[33, 3, -10, -22, -25, -51, -96, -24]
[15, -47, -37, 4, -1, -7, -18, -30]
[27, 31, 35, 35, 5, 11, 28, 45]
[27, -7, -52, -11, -7, -3, 6, 8]
[1, 28, 28, 24, -9, -15, -16, -20]
[22, -88, -23, -19, -18, -20, -35, -22]
[-20, 17, -4, -15, 10, 39, 17, 19]
[20, -67, 17, 4, 1, -12, 13, 73]
[6, -11, -8, -8, -1, 17, 24, -5]
[12, 92, -9, 5, 9, -1, -52, -37]
[-5, -26, 13, 3, 0, -63, -63, 47]
[16, -9, 20, 11, 15, 76, -123, -92]
[-26, 11, -9, 3, 3, -1, -87, -27]
[20, 1, 26, 7, 6, 6, 54, 13]
[28, 16, -20, 5, 3, -10, 7, -9]
[-17, 7, 7, -3, -3, -51, -90, -24]
[20, 2, 18, 11, 21, 78, 100, 37]
[6, 29, 7, 4, -2, -9, -13, -19]
[-3, -4, -11, -3, -1, 5, 4, 4]
[-8, 10, 18, 1, 1, 8, 8, 5]
[-17, -10, 0, -1, -6, -22, 3, 5]
[14, 2, -4, 1, -3, 0, 4, 17]
[14, -20, -23, -8, -10, -21, -41, -12]
[-4, 13, 15, 2, -4, -7, 21, 20]
[-1, -10, -16, -5, -10, -18, -33, -1]
[7, 5, -6, -2, -1, 7, 29, -2]
[-6, -30, -7, -5, -4, -5, -12, -10]
[-11, 27, 3, -1, 2, 1, 41, 11]
[33, -3, 0, 0, 3, 8, 4, 15]
[2, 4, 5, 3, 3, 2, -7, -7]
[-1, 2, 3, -1, -2, -19, -21, -1]
[1, 16, 6, 4, 1, 1, 5, 30]
[-11, -9, -9, -8, -8, -21, -52, -44]
[-10, -23, 5, 3, 8, 20, 73, 17]
[6, -17, -17, -3, -4, 4, -9, -2]
[10, 42, 14, -4, -4, -4, -10, 4]
[-6, -14, 0, -1, 1, 9, 25, 12]
[7, 12, -20, -4, -5, -3, -27, -31]
[-3, -16, -14, -1, -2, 4, 17, -1]
[5, 3, -3, -4, -5, -9, 1, 1]
[-4, -5, 2, 4, 2, 7, 28, 25]
[3, 11, 12, 2, 4, 9, 19, -4]
[12, 1, -3, -1, -1, 4, 8, 4]
[-5, 2, -3, -4, 0, -17, -37, -17]
[-6, -2, 1, 5, 5, 0, 8, -13]
[22, 13, 6, 3, 6, 13, 8, 12]
[4, 8, 4, 1, -2, -7, 0, 7]
[-13, -4, 4, 0, 2, -1, 3, -6]
[13, -3, 1, 1, 1, 1, 33, -8]
[1, 9, 5, 0, -1, -1, -18, 4]
[-3, 10, 5, -2, -1, -3, -1, -10]
[7, -27, -7, -2, -7, 1, -17, 2]
[-20, 13, -4, -3, -6, -7, -3, 6]
[-5, -29, -9, -5, -8, -7, -22, -27]
[14, 6, -3, -3, -2, -3, 4, -5]
[-1, -12, -8, -2, -3, 1, -6, 1]
[-8, -12, -7, -5, -9, -19, -58, -29]
[3, -8, -7, -1, 0, 10, 66, 17]
[-11, -11, 1, -5, -3, -13, -7, 4]
[26, 1, 8, 5, 7, 35, 7, 12]
[2, -12, -8, -2, 0, -5, -32, 7]
[-7, 8, 11, 2, 2, -2, -20, -3]
[-14, -10, -4, 1, 1, 1, 3, 1]
[-7, 6, -3, -2, -3, -17, -18, -4]
[2, 0, 4, 1, -2, 0, 18, -2]
[-4, 3, -6, -2, 1, 5, -2, 8]
[0, -5, -1, -1, 1, 0, 0, -5]
[-4, 5, 5, 3, 1, 0, 2, 0]
[7, -4, -8, -2, 0, 3, 13, -4]
[-10, 1, 15, 3, 2, -2, 1, 4]
[-8, 9, -10, -1, -2, -5, -19, 6]
[-7, 3, 13, -1, -1, 6, 12, -16]
[23, 18, 0, -3, 2, 8, 19, 5]
[20, -2, -9, -2, -4, -3, -11, 18]
[0, -3, 1, 1, 0, 2, 25, 0]
[-7, 0, -6, 0, -1, -7, -31, -3]
[-27, -14, -9, -2, -5, -8, -8, -11]
[-9, 6, 14, 0, -1, -2, -7, -3]
[8, 4, 0, -1, 2, 10, -8, -1]
[2, -6, -8, -3, -4, -10, 7, 15]
[3, -14, 8, 0, -1, -2, 6, 5]
[-7, 12, 0, 0, -1, -4, -13, 0]
[-7, -34, -5, -2, -2, 1, -3, 4]
[15, 25, 6, 2, 1, 8, 21, 6]
[-1, 1, 0, -1, -3, -7, -4, -12]
[5, 1, -1, 4, 5, 15, 52, 18]
[-2, -6, -3, -3, -3, -6, -15, -5]
[-5, -22, -10, -3, -3, -6, -9, -3]
[-1, 25, 4, 1, -2, -8, -19, -4]
[-10, -27, -7, -4, -5, -4, -16, -8]
[13, 12, 0, -2, -2, -1, 8, -9]
[4, -9, -5, -2, -3, -4, -1, 1]
[-4, -3, -6, 0, -1, 4, 9, 5]
[-2, 8, 8, -2, 0, -1, -12, 0]
[-6, 11, 1, 2, 3, 5, 15, 7]
[-11, -21, -8, 0, -1, -9, -36, -16]
[5, 25, 15, 4, 5, 0, 31, 1]
[20, 27, 0, 4, 5, 20, 64, 25]
[16, -13, -2, -3, -6, -4, -12, -2]
[-5, 13, 2, -2, 1, 0, -5, -3]
[-9, -13, -7, -4, -5, -10, -21, -3]
[-13, 1, -6, -2, -3, -7, -24, -18]
[-3, -2, 2, 0, -1, 1, 14, -1]
[0, -5, -5, 0, -2, -2, 2, -4]
[-5, -4, 1, -1, 0, 2, -4, 15]
[1, -5, -2, -1, -2, -4, -14, 2]
[-2, -3, -4, -1, -1, 1, -2, 1]
[1, 5, -1, -2, 0, 0, 5, -3]
[0, -8, 0, -2, -4, 1, -1, 6]
[0, -5, 3, 0, -2, -4, -8, -3]
[-4, 18, 3, 1, 4, -1, 1, -5]
[1, 1, -4, 0, 0, 0, 6, 2]
[-3, 3, -2, -2, -2, 0, 6, -2]
[1, -19, -2, -4, -2, -5, -18, -6]
[-5, -7, 0, -2, -1, -2, -3, -4]
[3, 29, 10, 2, 2, 10, 47, 13]
[3, -1, -6, -1, -2, -3, -8, -4]
[-7, -5, -10, -2, -2, -6, -28, -8]
[0, -1, 1, 1, 1, 0, 14, 2]
[-11, -7, 1, -2, -2, -1, 2, -3]
[-2, -6, -3, -3, -1, -3, -21, -1]
[-7, 3, -1, 0, -2, -5, -16, -6]
[6, -1, -1, 3, 6, 21, 67, 10]
[4, -7, -4, -1, -4, -9, -25, -2]
[-4, -2, 3, 0, 1, -1, -16, -4]
[-2, 1, -6, -3, -2, -1, -5, -9]
[1, 0, -2, -2, -2, 0, -12, 0]
[6, 10, -2, -2, -4, -2, -2, 0]
[-2, -18, 1, -1, 0, 0, 4, 2]
[-12, -4, -2, -3, -4, -9, -19, -1]
